AGGREGATO,consor_area,consor_nome,comune_nome,comune_area,intersect_area
"25",488.56,Garavella,CUNEO,11972.696,311.52
"25",488.56,Garavella,Castelletto Stura,1713.914,176.80
"21",2398.24,Canali Miglia e Vignolo,Bernezzo,2585.555,17.67
"21",2398.24,Canali Miglia e Vignolo,CUNEO,11972.696,1621.43
"21",2398.24,Canali Miglia e Vignolo,Cervasca,1825.007,255.82
"21",2398.24,Canali Miglia e Vignolo,Caraglio,4169.394,0.08
"21",2398.24,Canali Miglia e Vignolo,Centallo,4250.728,390.91
"21",2398.24,Canali Miglia e Vignolo,Tarantasca,1220.738,25.09
"21",2398.24,Canali Miglia e Vignolo,Vignolo,794.525,32.19
"21",2398.24,Canali Miglia e Vignolo,Busca,7679.756,53.93
"21",2664.62,Canale Roero,Bernezzo,2585.555,253.61
"21",2664.62,Canale Roero,CUNEO,11972.696,1709.74
"21",2664.62,Canale Roero,Cervasca,1825.007,596.57
"21",2664.62,Canale Roero,Caraglio,4169.394,66.77
"21",2664.62,Canale Roero,Centallo,4250.728,4.27
"21",2664.62,Canale Roero,Vignolo,794.525,32.44
